file,pointer,navStyle,currentSource,navMode,fileName,pathOverride,confidence,note
lib/stac/tobank/flows/promissory/json_upload/promissory_confirm.json,/body/children[1]/child/onPressed,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_payment/1,apiJson,promissory_payment,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_data.json,/child/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json_upload/promissory_data.json,/child/body/child/children[0]/children[1]/child/onPressed/actions[5],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_confirm/1,apiJson,promissory_confirm,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_deposits.json,/child/onContinue,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_issuer/1,apiJson,promissory_issuer,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_intro.json,/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json_upload/promissory_intro.json,/body/children[6]/child/child/children[0]/onTap,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_rules/1,apiJson,promissory_rules,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_issuer.json,/child/onContinue,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_receiver/1,apiJson,promissory_receiver,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_payment.json,/child/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json_upload/promissory_payment.json,/child/body/children[1]/child/child/onPressed/widget/actions[1]/onPressed/actions[1],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_sign/1,apiJson,promissory_sign,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_payment.json,/child/body/children[2]/child/child/onPressed,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.promissory_payment_deposits/1,apiJson,promissory_payment_deposits,,auto,"real resolveUrl, address-equal"
